Time,Node,AC,Link0_Score,Link1_Score,ChosenLink,Switched,L0_Delay,L1_Delay,L0_Jitter,L1_Jitter,L0_Loss,L1_Loss,L0_Tp,L1_Tp
1.50008,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50015,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50023,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50031,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50038,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50046,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50054,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50061,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50069,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50077,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50084,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50092,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.501,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50108,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50115,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50123,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50131,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50138,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50146,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50154,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50161,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50169,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50177,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50184,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50192,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.502,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50207,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50215,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.50223,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
1.5023,AP,3,0.963976,0.993976,1,0,0,0,0,0,0,0,0,0
